Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,20594000,21182000,23920000,16386000
Depreciation & amortization,-,23171000,20740000,23275000
Change in working capital,-,-18268000,-20044000,-9589000
Inventory,-,-17206000,-16346000,-3479000
Other working capital,-,-6241000,789000,497000
Other non-cash items,-,3710000,3090000,-4494000
Net cash provided by operating activites,-,28114000,31043000,28390000
Investments in property plant and equipment,-,-34355000,-30254000,-27893000
Purchases of investments,-,-788000,-1074000,-1499000
Sales/Maturities of investments,-,1214000,470000,1120000
Other investing activites,-,106000,-709000,-618000
Net cash used for investing activites,-,-33707000,-30215000,-26449000
Net change in cash,-,-15000,6131000,-104000
Cash at beginning of period,-,40259000,33685000,33773000
Cash at end of period,-,40728000,40259000,33685000
Operating Cash Flow,-,28114000,31043000,28390000
Capital Expenditure,-,-34355000,-30254000,-27893000
Free Cash Flow,-,-6241000,789000,497000
