Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9460000,9044000,6930000,7569000
Depreciation & amortization,7438000,7033000,6385000,6219000
Change in working capital,-545000,1846000,-5364000,-3155000
Inventory,2710000,5386000,-2741000,-2004000
Other working capital,7631000,10502000,-3449000,6420000
Other non-cash items,2405000,1973000,377000,3496000
Net cash provided by operating activites,19530000,20718000,5667000,13697000
Investments in property plant and equipment,-11899000,-10216000,-9116000,-7277000
Acquisitions net,-,-1067000,-9000,-9000
Purchases of investments,-652000,-222000,-1838000,-34000
Sales/Maturities of investments,-,898000,1869000,432000
Other investing activites,-1040000,-888000,-1746000,-602000
Net cash used for investing activites,-13349000,-11270000,-10795000,-5697000
Net change in cash,3674000,-7763000,6908000,7273000
Cash at beginning of period,8914000,20903000,13995000,6721000
Cash at end of period,12844000,13140000,20903000,13995000
Operating Cash Flow,19530000,20718000,5667000,13697000
Capital Expenditure,-11899000,-10216000,-9116000,-7277000
Free Cash Flow,7631000,10502000,-3449000,6420000
