Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1992,-2214,-1836,-386,-463
Acquisitions net,-,-3583,-,-,-2
Purchases of investments,-,-,-,-22,-
Sales/Maturities of investments,-,-,37,8314,2618
Other investing activites,-,771,937,-,-
Net cash used for investing activites,-8440,-4463,-556,7909,2324
Debt repayment,-13792,-6785,-288,-8531,-9043
Common stock issued,11600,6285,-,-,-
Common stock repurchased,-,-281,-,-,-
Dividends Paid,-,-172,-,-,-
Other financing activites,-,-,-,6065,2690
Net cash used privided by (used for) financing activities,10837,5899,940,-131,2377
Net change in cash,3432,-265,208,163,-1529
Cash at beginning of period,941,1312,1104,945,2476
Cash at end of period,4373,1047,1312,1104,945
Capital Expenditure,-1992,-2214,-1836,-386,-463
Free Cash Flow,-957,-3915,-2012,-8001,-6693
