Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,2373000,5308000,7452000,7350000
Depreciation & amortization,-,11743000,11794000,11123000
Stock based compensation,-,147000,117000,-
Change in working capital,-,-3351000,2180000,-1896000
Inventory,-,-120000,-88000,-640000
Other working capital,-,1975000,4604000,-6251000
Other non-cash items,-,803000,-819000,-2019000
Net cash provided by operating activites,-,18309000,21060000,16682000
Investments in property plant and equipment,-,-16334000,-16456000,-22933000
Sales/Maturities of investments,-,-,-,338000
Other investing activites,-,140000,139000,1262000
Net cash used for investing activites,-,-13153000,-16238000,-20294000
Net change in cash,-,530000,538000,-4300000
Cash at beginning of period,-,25708000,25169000,29470000
Cash at end of period,-,26238000,25708000,25169000
Operating Cash Flow,-,18309000,21060000,16682000
Capital Expenditure,-,-16334000,-16456000,-22933000
Free Cash Flow,-,1975000,4604000,-6251000
