Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017
Total Revenue,58843,58843,13190,85067
Selling General and Administrative,376.01,376.01,443.803,489.728
Total Operating Expenses,412.18,412.18,482.093,533.407
Interest Expense,7761,7761,6378,3260
Income Before Tax,58431,58431,12708,84534
Income from Continuing Operations,58431,58431,12708,84534
Net Income,58431,58431,12708,84534
Net Income available to common shareholders,58431,58431,12708,84534
Basic EPS,-,-,0.52,3.47
Diluted EPS,-,-,0.52,3.47
Basic Average Shares,-,-,24439,24361
Diluted Average Shares,-,-,24439,24361
