Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13043000,11564000,10517000,10665000
Depreciation & amortization,13808000,12995000,12747000,12925000
Change in working capital,-5338000,-2211000,-4410000,-620000
Inventory,-4241000,-2619000,-1865000,1121000
Other working capital,17360000,23352000,21481000,21466000
Other non-cash items,-980000,926000,2097000,-1717000
Net cash provided by operating activites,17360000,23352000,21481000,21466000
Purchases of investments,-1740000,-13981000,-40000,-38000
Sales/Maturities of investments,4224000,1256000,372000,52000
Other investing activites,-20375000,-19064000,-22578000,-22318000
Net cash used for investing activites,-17888000,-31786000,-22219000,-22270000
Net change in cash,-2246000,3391000,2658000,-8736000
Cash at beginning of period,37615000,39580000,36921000,45658000
Cash at end of period,35414000,42972000,39580000,36921000
Operating Cash Flow,17360000,23352000,21481000,21466000
Free Cash Flow,17360000,23352000,21481000,21466000
