Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-11.098,-4.399,-3.437
Purchases of investments,-,-,-,-6.09,-
Other investing activites,-,-10.553,-176.553,-19.569,-963.23
Net cash used for investing activites,139.7,11.197,-89.655,52.949,-953.259
Common stock issued,-,2816,4152,7952,2186
Common stock repurchased,-,-195.016,-221.656,-466.921,-71.848
Other financing activites,-,-,-,-,40.509
Net cash used privided by (used for) financing activities,-,2621,4163,7637,4655
Net change in cash,1708,-2099,-1216,3588,716.762
Cash at beginning of period,494.358,3127,4343,755.861,39.099
Cash at end of period,2203,1028,3127,4343,755.861
Capital Expenditure,-,-,-11.098,-4.399,-3.437
Free Cash Flow,-4046,-4732,-5300,-4107,-2988
