Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,2423518,2423518,2359392,1921131,1699195
Interest Expense,369099,369099,286971,223980,212518
Income Before Tax,818316,818316,737737,338511,294340
Income Tax Expense,147181,147181,119579,230830,78784
Income from Continuing Operations,671135,671135,618158,107681,215556
Net Income,671135,671135,618158,107681,216691
Net Income available to common shareholders,667412,667412,614435,103958,212968
Basic EPS,-,-,6.07,1.02,2.06
Diluted EPS,-,-,6.06,1.02,2.06
Basic Average Shares,-,-,101142,101966,103275
Diluted Average Shares,-,-,101309,102045,103377
