Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4374000,3871000,6204000,5191000
Depreciation & amortization,-,7357000,6219000,5166000
Change in working capital,-,-255000,-4143000,2771000
Inventory,-,-1546000,-1362000,-366000
Other working capital,-,346000,-1480000,11156000
Other non-cash items,-,3647000,2123000,3466000
Net cash provided by operating activites,-,13660000,8698000,16282000
Investments in property plant and equipment,-,-13314000,-10178000,-5126000
Acquisitions net,-,-2657000,-5395000,-
Purchases of investments,-,-505000,-391000,-536000
Sales/Maturities of investments,-,901000,446000,5178000
Other investing activites,-,481000,369000,54000
Net cash used for investing activites,-,-14355000,-13283000,367000
Net change in cash,-,951000,-281000,906000
Cash at beginning of period,-,6837000,6157000,5328000
Cash at end of period,-,7788000,6837000,6157000
Operating Cash Flow,-,13660000,8698000,16282000
Capital Expenditure,-,-13314000,-10178000,-5126000
Free Cash Flow,-,346000,-1480000,11156000
