Breakdown,6/30/2019,6/30/2017
Total Assets,188493,350000
Liabilities,,
Total Liabilities,997,0
Stockholders' Equity,,
Common Stock,187496,350000
Total stockholders' equity,187496,350000
Total liabilities and stockholders' equity,188493,350000
