Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,59005,59005,60226,58993,51768
Interest Expense,29187,29187,23738,16837,11898
Income Before Tax,22942,22942,21153,25129,18310
Income Tax Expense,4726,4726,3720,11299,5960
Income from Continuing Operations,18216,18216,17433,13830,12350
Net Income,18216,18216,17433,13830,12350
Net Income available to common shareholders,18004,18004,17204,13651,12112
Basic EPS,-,-,2.23,1.80,1.64
Diluted EPS,-,-,2.21,1.78,1.62
Basic Average Shares,-,-,7722,7572,7396
Diluted Average Shares,-,-,7775,7670,7491
