Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-2.376,-170.602,-3.142,-9.345
Net cash used for investing activites,0.224,-170.602,-3.142,-8.345
Common stock issued,7005,9953,13.189,10059
Common stock repurchased,-562.015,-716.091,-,-584.757
Net cash used privided by (used for) financing activities,7408,9237,13.189,9474
Net change in cash,-334.42,3250,-3919,5739
Cash at beginning of period,5359,2306,6225,485.558
Cash at end of period,5025,5556,2306,6225
Capital Expenditure,-2.376,-170.602,-3.142,-9.345
Free Cash Flow,-7745,-5987,-3932,-3736
