Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6330000,6005000,4878000,710000
Depreciation & amortization,-,2926000,3293000,3344000
Change in working capital,-,-342000,-1201000,6100000
Inventory,-,-1469000,1393000,4934000
Other working capital,-,1113000,9045000,6921000
Other non-cash items,-,-2495000,2192000,-1175000
Net cash provided by operating activites,-,4048000,11301000,9229000
Investments in property plant and equipment,-,-2935000,-2256000,-2308000
Acquisitions net,-,-29000,-16000,-12000
Purchases of investments,-,-4000,-2031000,-401000
Sales/Maturities of investments,-,1004000,203000,346000
Other investing activites,-,-26000,305000,-283000
Net cash used for investing activites,-,-1917000,-4072000,-1150000
Net change in cash,-,-449000,1527000,272000
Cash at beginning of period,-,15976000,14448000,14176000
Cash at end of period,-,15527000,15976000,14448000
Operating Cash Flow,-,4048000,11301000,9229000
Capital Expenditure,-,-2935000,-2256000,-2308000
Free Cash Flow,-,1113000,9045000,6921000
