Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-,-2423,-89,-21188,-24284
Sales/Maturities of investments,-,-,63371,448,25656
Other investing activites,-,1720,-37969,-,-
Net cash used for investing activites,-,-703,25313,-20740,1372
Debt repayment,-,-,-,-16026,-
Common stock issued,-,2668,-,40551,-
Common stock repurchased,-,-63,-154,-1236,-10321
Dividends Paid,-,-4528,-7611,-2208,-3784
Other financing activites,-,-536,-,-,-410
Net cash used privided by (used for) financing activities,-,-2459,-7765,37107,-14515
Net change in cash,-,2244,20231,18764,-10930
Cash at beginning of period,-,40089,19858,1094,12024
Cash at end of period,-,42333,40089,19858,1094
Free Cash Flow,-,5406,2683,2397,2213
