Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,747175,505120,329817
Liabilities,,,
Total Liabilities,340258,245541,157017
Stockholders' Equity,,,
Common Stock,20.862,13.358,8.597
Retained Earnings,-7397,-6458,2036
Total stockholders' equity,406917,259579,172800
Total liabilities and stockholders' equity,747175,505120,329817
