Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-962.206,-962.206,-719.172,-1176,-1074
Acquisitions net,-2166,-2166,-,-,-
Net cash used for investing activites,-3129,-3129,-719.172,-1176,-1074
Debt repayment,-,-,-,-467.844,-
Common stock issued,7675,7675,295.101,10000,23000
Common stock repurchased,-33.32,-33.32,-51.693,-564.077,-781.716
Other financing activites,-713.513,-713.513,-,-,-
Net cash used privided by (used for) financing activities,6928,6928,243.408,8968,22218
Net change in cash,-2698,-2698,-11946,-5601,8568
Cash at beginning of period,9532,9532,21477,27078,18509
Cash at end of period,6833,6833,9532,21477,27078
Capital Expenditure,-962.206,-962.206,-719.172,-1176,-1074
Free Cash Flow,-7461,-7461,-12189,-14568,-13650
