Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4153911,2682827,1192942,992045
Depreciation & amortization,-,134561,125108,101404
Change in working capital,-,58850,-56852,-81724
Other working capital,-,-575222,1599289,-7578875
Other non-cash items,-,319402,111259,180787
Net cash provided by operating activites,-,1326295,1629592,753788
Investments in property plant and equipment,-,-1901517,-30303,-8332663
Purchases of investments,-,-1231100,-5000,-4199000
Sales/Maturities of investments,-,271100,-,16114
Other investing activites,-,-13836,875971,3474224
Net cash used for investing activites,-,4938173,840668,-9442325
Net change in cash,-,1076786,924908,-193641
Cash at beginning of period,-,1302578,377670,571311
Cash at end of period,-,2379364,1302578,377670
Operating Cash Flow,-,1326295,1629592,753788
Capital Expenditure,-,-1901517,-30303,-8332663
Free Cash Flow,-,-575222,1599289,-7578875
