Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,94896,167842,279882,1451977
Depreciation & amortization,-,15568,11844,11158
Change in working capital,-,209174,-184717,-669061
Inventory,-,-219023,-106530,-3447
Other working capital,324934,13302,-270761,-816245
Other non-cash items,-,-12798,-241603,-5890
Net cash provided by operating activites,338476,26844,-270016,-814845
Investments in property plant and equipment,-,-13542,-745,-1400
Acquisitions net,-,0,-254365,-983936
Purchases of investments,-,0,-71466,-23232
Sales/Maturities of investments,5,1943,816,75308
Other investing activites,-,-,-,40173
Net cash used for investing activites,-24411,-38636,-329523,691088
Net change in cash,238116,411863,-738425,697378
Cash at beginning of period,864365,520803,1244846,565494
Cash at end of period,1102481,919000,520803,1244846
Operating Cash Flow,338476,26844,-270016,-814845
Capital Expenditure,-,-13542,-745,-1400
Free Cash Flow,324934,13302,-270761,-816245
