Breakdown,ttm,3/31/2019
Total Revenue,19989,30361
Selling General and Administrative,1511,1460
Total Operating Expenses,5326,7583
Interest Expense,4362,4124
Income Before Tax,14663,22778
Income Tax Expense,5,5
Income from Continuing Operations,14658,22773
Net Income,14658,22773
Net Income available to common shareholders,14658,22773
Basic EPS,-,0.14
Diluted EPS,-,0.14
Basic Average Shares,-,166735
Diluted Average Shares,-,166735
