Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,695978,622104,610864,513704
Liabilities,,,,
Total Liabilities,628634,560584,551187,455082
Stockholders' Equity,,,,
Common Stock,36981,36967,36847,36726
Retained Earnings,29906,26342,23427,22781
Accumulated other comprehensive income,457,-1789,-597,-885
Total stockholders' equity,67344,61520,59677,58622
Total liabilities and stockholders' equity,695978,622104,610864,513704
