Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-253600,-253600,-56900,-400,-118600
Depreciation & amortization,5200,5200,900,400,3800
Stock based compensation,4100,4100,2400,2000,1100
Change in working capital,-27100,-27100,-20800,-27700,-48300
Other working capital,-21600,-21600,-14400,-5600,-29500
Other non-cash items,8800,8800,7000,7400,19100
Net cash provided by operating activites,-21600,-21600,-14400,-5600,-29500
Acquisitions net,0,0,-400,-6400,-500
Sales/Maturities of investments,-,-,-,0,400
Other investing activites,-4800,-4800,-,-2400,-
Net cash used for investing activites,148000,148000,184300,38300,-209000
Net change in cash,120600,120600,3900,3700,-36000
Cash at beginning of period,32500,32500,28600,24900,60900
Cash at end of period,153100,153100,32500,28600,24900
Operating Cash Flow,-21600,-21600,-14400,-5600,-29500
Free Cash Flow,-21600,-21600,-14400,-5600,-29500
