Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-15601,-15601,-13514,-11645,-25439
Acquisitions net,-,-,-,-87341,-
Purchases of investments,-,-,-,-552.5641,-
Sales/Maturities of investments,-,-,-,-87341,-
Other investing activites,-100186,-100186,-14603,-1903,-
Net cash used for investing activites,-115786,-115786,-27353,-101319,-25356
Debt repayment,-2855,-2855,-,-,-
Common stock issued,31888,31888,44007,96147,40050
Common stock repurchased,-1816,-1816,-1950,-3796,-1905
Other financing activites,-2379,-2379,-1505,-1282,-
Net cash used privided by (used for) financing activities,60522,60522,54721,91069,38145
Net change in cash,-31035,-31035,31193,-6955,6717
Cash at beginning of period,54158,54158,23522,27531,22063
Cash at end of period,23003,23003,53759,21285,29829
Capital Expenditure,-15601,-15601,-13514,-11645,-25439
Free Cash Flow,8628,8628,-9688,-8350,-31511
