Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1380251,646236,764445,-148256
Depreciation & amortization,-,397610,395248,616159
Change in working capital,-,-566640,139626,1007791
Inventory,-,65565,306483,1245460
Other working capital,-,65062,1506113,1606903
Other non-cash items,-,-255814,341865,17251
Net cash provided by operating activites,-,465103,1820282,1826720
Investments in property plant and equipment,-,-400041,-314169,-219817
Acquisitions net,-,-622784,-71000,-
Purchases of investments,-,-160894,-4033,-1811
Sales/Maturities of investments,-,147665,112254,911
Other investing activites,-,-695081,10557,-5203
Net cash used for investing activites,-,-683664,-307670,-6642
Net change in cash,-,275003,-32508,429395
Cash at beginning of period,-,1793291,1825799,1350838
Cash at end of period,-,2068294,1793291,1825799
Operating Cash Flow,-,465103,1820282,1826720
Capital Expenditure,-,-400041,-314169,-219817
Free Cash Flow,-,65062,1506113,1606903
