Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2493000,2493000,4634000,3067000,2847000
Depreciation & amortization,1281000,1281000,1104000,1116000,849000
Change in working capital,-2617000,-2617000,-1288000,-2877000,-2249000
Inventory,-1471000,-1471000,-2716000,-2263000,-1402000
Other working capital,-700000,-700000,5123000,539000,2649000
Other non-cash items,75000,75000,235000,-697000,827000
Net cash provided by operating activites,843000,843000,5587000,1399000,3811000
Investments in property plant and equipment,-1543000,-1543000,-464000,-860000,-1162000
Acquisitions net,-,-,-,-1447000,-4373000
Other investing activites,-151000,-151000,-751000,1457000,-1394000
Net cash used for investing activites,-1832000,-1832000,-1215000,-1488000,-6929000
Net change in cash,10327000,10327000,-2770000,8259000,5160000
Cash at beginning of period,28516000,28516000,31286000,22909000,17748000
Cash at end of period,38844000,38844000,28516000,31286000,22909000
Operating Cash Flow,843000,843000,5587000,1399000,3811000
Capital Expenditure,-1543000,-1543000,-464000,-860000,-1162000
Free Cash Flow,-700000,-700000,5123000,539000,2649000
