Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Investments in property plant and equipment,-125000,-111000,-87000,-64000,-83000
Acquisitions net,-,-,-,-14000,-
Purchases of investments,-,-3000,-,-,-
Other investing activites,-,-,-,114000,-
Net cash used for investing activites,-126000,-110000,-79000,49000,-68000
Debt repayment,-3110000,-2159000,-2959000,-3963000,-1003000
Common stock issued,-,-,11000,12000,20000
Common stock repurchased,-,-7000,-11000,-12000,-20000
Dividends Paid,-197000,-210000,-282000,-188000,-180000
Other financing activites,-,-,-1000,-,57000
Net cash used privided by (used for) financing activities,1154000,1645000,66000,-61000,1266000
Net change in cash,-136000,56000,304000,-314000,125000
Cash at beginning of period,1264000,1218000,914000,1228000,1103000
Cash at end of period,1128000,1274000,1218000,914000,1228000
Capital Expenditure,-125000,-111000,-87000,-64000,-83000
Free Cash Flow,-1289000,-1590000,230000,-366000,-1156000
