Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,833938,833938,659208,505676,409315
Depreciation & amortization,723129,723129,335503,271066,244470
Change in working capital,-9982849,-9982849,-6417255,-5043725,-2942822
Other working capital,-2966133,-2966133,-110267,-2618033,-353378
Other non-cash items,634546,634546,564825,502460,465005
Net cash provided by operating activites,-2896179,-2896179,-67423,-2443028,-226788
Investments in property plant and equipment,-69954,-69954,-42844,-175005,-126590
Acquisitions net,-123736,-123736,0,-333192,-
Purchases of investments,-,-,-,0,-
Sales/Maturities of investments,-,-,-,-,0
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-193690,-193690,-42844,-508197,-126590
Net change in cash,44800,44800,837107,-354066,307158
Cash at beginning of period,2175302,2175302,1338195,1692261,1385103
Cash at end of period,2220102,2220102,2175302,1338195,1692261
Operating Cash Flow,-2896179,-2896179,-67423,-2443028,-226788
Capital Expenditure,-69954,-69954,-42844,-175005,-126590
Free Cash Flow,-2966133,-2966133,-110267,-2618033,-353378
