Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-556.336,-534.891,-34.217,-45.224,-150.625
Purchases of investments,-,-,-50,-,-
Other investing activites,-,-,-,-,-250.686
Net cash used for investing activites,-556.336,-534.891,-84.217,-45.224,-393.811
Debt repayment,-,-,-,-80,-
Common stock issued,1036,1099,280,828,399.05
Common stock repurchased,-20.52,-55.17,-15.625,-36.162,-
Net cash used privided by (used for) financing activities,1015,1043,264.375,711.838,699.05
Net change in cash,-64.561,-54.449,-118.982,342.626,44.564
Cash at beginning of period,542.666,373.172,492.154,149.528,104.964
Cash at end of period,478.105,318.723,373.172,492.154,149.528
Capital Expenditure,-556.336,-534.891,-34.217,-45.224,-150.625
Free Cash Flow,-1080,-1098,-333.357,-369.212,-411.3
