Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-3032,-3032,-2245,-442.702
Other investing activites,160.852,160.852,277.712,-
Net cash used for investing activites,-2871,-2871,-1967,-442.702
Debt repayment,-,-,-,-11.149
Common stock issued,-,-,6000,522.5
Common stock repurchased,-,-,-345.369,-
Net cash used privided by (used for) financing activities,-,-,5655,511.351
Net change in cash,-3370,-3370,3367,-633.087
Cash at beginning of period,7024,7024,145.517,778.604
Cash at end of period,3654,3654,3512,145.517
Capital Expenditure,-3032,-3032,-2245,-442.702
Free Cash Flow,-3831,-3831,-2566,-1144
