Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2054,-2506,-2161,-2375,-497.011
Purchases of investments,-,-500,-,-415.905,-
Sales/Maturities of investments,-,-,-,-,26.95
Other investing activites,-,-,-,12,-
Net cash used for investing activites,-2554,-3006,-2161,-2379,-470.061
Debt repayment,-,-,-50.972,-,-
Common stock issued,-,-,7246,1958,292.133
Common stock repurchased,-55.234,-12.273,-277.026,-90.45,-6.879
Net cash used privided by (used for) financing activities,1473,547.727,7377,2783,823.74
Net change in cash,-2038,-4051,3986,123.632,162.778
Cash at beginning of period,2162,4281,294.709,171.077,8.299
Cash at end of period,123.884,230.308,4281,294.709,171.077
Capital Expenditure,-2054,-2506,-2161,-2375,-497.011
Free Cash Flow,-3011,-4099,-3391,-2655,-687.912
