Breakdown,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Assets,362168,346270,373284,352547
Liabilities,,,,
Total Liabilities,16104,870,4028,27728
Stockholders' Equity,,,,
Common Stock,7853,7853,7853,7853
Retained Earnings,-,-,8575,-
Total stockholders' equity,346064,345400,369256,324819
Total liabilities and stockholders' equity,362168,346270,373284,352547
