Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,24950000,2642000,8930000,27607000
Depreciation & amortization,19413000,20883000,21349000,23017000
Change in working capital,-17968000,-17567000,-2386000,9071000
Inventory,-2042000,-10004000,6953000,-12778000
Other working capital,4008000,-16330000,3656000,33555000
Other non-cash items,2759000,2922000,-3886000,322000
Net cash provided by operating activites,26784000,14876000,26487000,59126000
Investments in property plant and equipment,-22776000,-31206000,-22831000,-25571000
Acquisitions net,-3324000,-7396000,-8367000,-4248000
Purchases of investments,-5258000,-3849000,-3744000,-4194000
Sales/Maturities of investments,6384000,10117000,6866000,7278000
Other investing activites,-1319000,-3369000,-3014000,6926000
Net cash used for investing activites,-8052000,-22113000,-20422000,-4767000
Net change in cash,3517000,-28501000,-22642000,14900000
Cash at beginning of period,126141000,176566000,199208000,185613000
Cash at end of period,129496000,148064000,176566000,199208000
Operating Cash Flow,26784000,14876000,26487000,59126000
Capital Expenditure,-22776000,-31206000,-22831000,-25571000
Free Cash Flow,4008000,-16330000,3656000,33555000
