Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6335,-13725,-14485,-8194,-8703
Acquisitions net,-,-,-31,-,-
Other investing activites,-5285,-5880,-31,-536,-
Net cash used for investing activites,25981,17779,-13366,-7792,-5828
Debt repayment,-18266,-7719,-3349,-36000,-3786
Dividends Paid,-,-2776,-6490,-5889,-3783
Other financing activites,-4457,-662,-230,-204,-1313
Net cash used privided by (used for) financing activities,-26530,-9448,-459,-1344,-8882
Net change in cash,-550,2233,5942,-4691,6486
Cash at beginning of period,9254,9692,6140,10831,4345
Cash at end of period,8704,11925,9692,6140,10831
Capital Expenditure,-6335,-13725,-14485,-8194,-8703
Free Cash Flow,-6336,-19823,5282,-3749,12493
