Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-1341,-1341
Purchases of investments,-63,-63
Other investing activites,-2749,-2749
Net cash used for investing activites,-4097,-4097
Common stock issued,1217,1217
Common stock repurchased,-6,-6
Other financing activites,1150,1150
Net cash used privided by (used for) financing activities,10794,10794
Net change in cash,-414,-414
Cash at beginning of period,2009,2009
Cash at end of period,1595,1595
Capital Expenditure,-1341,-1341
Free Cash Flow,-8452,-8452
