Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-32232,-26095,-30840,-21885,-13656
Sales/Maturities of investments,-,-,82.246,-67.5,-
Other investing activites,-,-4142,-,-,-
Net cash used for investing activites,-43862,-30238,-30458,-21933,-13563
Common stock issued,-,56988,1586,3971,6013
Common stock repurchased,-2265,-2952,-,-,-172.073
Other financing activites,-3641,-899.464,-648.506,3200,-0.003
Net cash used privided by (used for) financing activities,37347,53137,937.374,7171,9141
Net change in cash,11152,41938,2094,4764,-1812
Cash at beginning of period,18282,11759,9672,-18.043,-26.737
Cash at end of period,29434,53696,11759,9672,4926
Capital Expenditure,-32232,-26095,-30840,-21885,-13656
Free Cash Flow,-14565,-7057,773.973,-2359,-11046
