Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,20341,21331,23823,25757
Interest Expense,5765,6141,5280,4918
Income Before Tax,-5132,-5803,5321,-2734
Income Tax Expense,33,133,-33,119
Income from Continuing Operations,-5165,-5936,5354,-2853
Net Income,-5165,-5936,5354,-2853
Net Income available to common shareholders,-5165,-5936,2148,-2853
Basic EPS,-,-1.60,0.58,-0.77
Diluted EPS,-,-1.60,0.58,-0.77
Basic Average Shares,-,3699,3698,3696
Diluted Average Shares,-,3699,3701,3696
