Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,543535,781394,2040243,419415
Depreciation & amortization,23772,10396,9749,8510
Change in working capital,-17382,-605827,-1486600,1220139
Inventory,-227351,325816,120794,2010
Other working capital,-183338,-526056,-898703,1446452
Other non-cash items,171418,130946,111330,126200
Net cash provided by operating activites,-180734,-523436,-897697,1509460
Investments in property plant and equipment,-2604,-2620,-1006,-63008
Acquisitions net,-,-,0,-136455
Sales/Maturities of investments,-2,789,-,-
Other investing activites,54,138241,-317894,-148623
Net cash used for investing activites,-327938,-246033,2971187,-501318
Net change in cash,-82775,-386262,312449,476645
Cash at beginning of period,1954657,2575283,2074016,1677500
Cash at end of period,1871882,2089607,2575283,2074016
Operating Cash Flow,-180734,-523436,-897697,1509460
Capital Expenditure,-2604,-2620,-1006,-63008
Free Cash Flow,-183338,-526056,-898703,1446452
