Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,2234000,342000,1296000,1215000
Depreciation & amortization,-,1703000,1571000,1537000
Change in working capital,-,659000,1771000,1028000
Inventory,-,1135000,3592000,3278000
Other working capital,-,-17000,4404000,3395000
Other non-cash items,-,163000,186000,337000
Net cash provided by operating activites,-,1040000,5136000,4818000
Investments in property plant and equipment,-,-1057000,-732000,-1423000
Purchases of investments,-,-1090000,-,-
Sales/Maturities of investments,-,3482000,-,-
Other investing activites,-,500000,636000,248000
Net cash used for investing activites,-,2836000,-62000,-1097000
Net change in cash,-,-606000,-948000,6767000
Cash at beginning of period,-,7383000,8332000,1564000
Cash at end of period,-,6777000,7383000,8332000
Operating Cash Flow,-,1040000,5136000,4818000
Capital Expenditure,-,-1057000,-732000,-1423000
Free Cash Flow,-,-17000,4404000,3395000
