Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,57724212,57616844,53534832
Liabilities,,,
Total Liabilities,52473198,52188536,48726203
Stockholders' Equity,,,
Common Stock,276,271,268
Retained Earnings,2611256,2530825,2226751
Total stockholders' equity,4620141,4746244,4163891
Total liabilities and stockholders' equity,57724212,57616844,53534832
