Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,705236,615943,441994,327503,321896
Interest Expense,802,425,300,-,-
Income Before Tax,521165,493337,270610,256127,259701
Income Tax Expense,122063,116390,58819,59902,61344
Income from Continuing Operations,399102,376947,211791,196225,198357
Net Income,399102,376947,211791,196225,198357
Net Income available to common shareholders,399102,376947,211791,196225,198357
Basic EPS,-,2.13,1.22,1.17,1.24
Diluted EPS,-,2.13,1.22,1.14,1.16
Basic Average Shares,-,176865,173553,167892,160635
Diluted Average Shares,-,176865,173553,171976,171738
