Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,4394863,1835552,1754176,1756509
Liabilities,,,,
Total Liabilities,2172009,866698,796230,877684
Stockholders' Equity,,,,
Common Stock,133,60,60,55
Retained Earnings,-87889,19247,1954,18832
Total stockholders' equity,2222854,968854,957946,878825
Total liabilities and stockholders' equity,4394863,1835552,1754176,1756509
