Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,19363315,16556270,13606422,12865744
Liabilities,,,,
Total Liabilities,14506964,12642281,10460474,10054912
Stockholders' Equity,,,,
Common Stock,528391,528339,16791,16564
Retained Earnings,2887892,1976539,2132912,1847550
Accumulated other comprehensive income,7171,10440,10468,-23549
Total stockholders' equity,4842183,3901933,3136684,2802312
Total liabilities and stockholders' equity,19363315,16556270,13606422,12865744
