Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-594427,-311661,-3427565,376351
Depreciation & amortization,-,373306,333886,231149
Change in working capital,-,2802570,2844847,-3679350
Inventory,-,120082,-154978,-151030
Other working capital,-,3695257,3376455,-2560337
Other non-cash items,-,1183592,1501156,-562786
Net cash provided by operating activites,-,3910060,4099151,-2080506
Investments in property plant and equipment,-,-214803,-722696,-479831
Purchases of investments,-,-617,-652194,-9304793
Other investing activites,-,-67044,222415,-1026495
Net cash used for investing activites,-,-281894,-1136237,-10811119
Net change in cash,-,4294046,-3679226,10047991
Cash at beginning of period,-,10435720,14114946,4065877
Cash at end of period,-,14919030,10435720,14114946
Operating Cash Flow,-,3910060,4099151,-2080506
Capital Expenditure,-,-214803,-722696,-479831
Free Cash Flow,-,3695257,3376455,-2560337
