Breakdown,ttm,2/28/2018,2/28/2017
Net Income,-3961046,-448015,-1124820
Depreciation & amortization,-,1431604,1540178
Change in working capital,-,773527,-461949
Inventory,-,889816,300859
Other working capital,-,2393004,-272088
Other non-cash items,-,606237,44749
Net cash provided by operating activites,-,2983346,338891
Investments in property plant and equipment,-,-590342,-610979
Sales/Maturities of investments,-,572,9987
Other investing activites,-,287636,513355
Net cash used for investing activites,-,-290341,-12027
Net change in cash,-,1538189,697481
Cash at beginning of period,-,3386944,2689462
Cash at end of period,-,4925133,3386944
Operating Cash Flow,-,2983346,338891
Capital Expenditure,-,-590342,-610979
Free Cash Flow,-,2393004,-272088
