Breakdown,ttm,12/31/2019,3/31/2018,3/31/2017
Net Income,4913000,4913000,7844000,8348000
Depreciation & amortization,15370000,15370000,16010000,15020000
Change in working capital,7484000,7484000,-1894000,-4310000
Inventory,1661000,1661000,-1713000,-2772000
Other working capital,5740000,5740000,5202000,2549000
Other non-cash items,661000,661000,-441000,563000
Net cash provided by operating activites,30326000,30326000,23558000,18552000
Investments in property plant and equipment,-24586000,-24586000,-18356000,-16003000
Acquisitions net,-1192000,-1192000,-,-
Purchases of investments,-3788000,-3788000,-4063000,-6055000
Sales/Maturities of investments,3817000,3817000,4174000,6273000
Other investing activites,-743000,-743000,-852000,-543000
Net cash used for investing activites,-26278000,-26278000,-11427000,-15142000
Net change in cash,1724000,1724000,5760000,-3679000
Cash at beginning of period,19632000,19632000,16170000,19850000
Cash at end of period,21356000,21356000,21931000,16170000
Operating Cash Flow,30326000,30326000,23558000,18552000
Capital Expenditure,-24586000,-24586000,-18356000,-16003000
Free Cash Flow,5740000,5740000,5202000,2549000
