Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1322,-1023,-1473
Acquisitions net,-,-,-17654
Purchases of investments,-6999,-543,-8160
Sales/Maturities of investments,-,7548,-
Other investing activites,-,-220,-
Net cash used for investing activites,-8124,5762,-27287
Debt repayment,-366,-124,-535
Common stock issued,-,80,35820
Common stock repurchased,-,-,-1959
Net cash used privided by (used for) financing activities,6804,155,33630
Net change in cash,-4068,2369,-33
Cash at beginning of period,9085,4446,4479
Cash at end of period,5017,6815,4446
Capital Expenditure,-1322,-1023,-1473
Free Cash Flow,-4070,-4571,-7849
