Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5767,-5767,-5261,-2869,-678.793
Acquisitions net,-43951,-43951,-727,-,-33702
Purchases of investments,-,-43951,-,-,-214.001
Sales/Maturities of investments,-,-,-,207,39.927
Other investing activites,-100,-100,-649,-3820,-
Net cash used for investing activites,-49818,-49818,-6637,-6482,-34555
Common stock issued,353,353,26,204,58621
Common stock repurchased,-,-,-,-,-3240
Other financing activites,-339,-339,-,-,-
Net cash used privided by (used for) financing activities,15014,15014,26,204,55381
Net change in cash,-5642,-5642,-239,12977,22803
Cash at beginning of period,39006,39006,39872,26942,4264
Cash at end of period,33085,33085,39006,39872,26942
Capital Expenditure,-5767,-5767,-5261,-2869,-678.793
Free Cash Flow,23395,23395,1111,16386,1299
