Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9947000,9326000,8645000,7999000
Depreciation & amortization,6207000,6100000,5922000,5900000
Change in working capital,-2707000,-3404000,-3657000,571000
Inventory,237000,60000,-444000,134000
Other working capital,4909000,5441000,7647000,9279000
Other non-cash items,34000,298000,217000,60000
Net cash provided by operating activites,13762000,12262000,12563000,15792000
Investments in property plant and equipment,-8853000,-6821000,-4916000,-6513000
Acquisitions net,-,-,-,-23000
Purchases of investments,-,-,-,0
Sales/Maturities of investments,-,792000,2000,2000
Other investing activites,-830000,-890000,-1100000,-726000
Net cash used for investing activites,-9633000,-7654000,-8704000,-12815000
Net change in cash,232000,887000,441000,-83000
Cash at beginning of period,3413000,3332000,2891000,2974000
Cash at end of period,3644000,4220000,3332000,2891000
Operating Cash Flow,13762000,12262000,12563000,15792000
Capital Expenditure,-8853000,-6821000,-4916000,-6513000
Free Cash Flow,4909000,5441000,7647000,9279000
