Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,127854,240738,254088,131711
Depreciation & amortization,-,245826,190579,149439
Change in working capital,-,-32036,85621,113828
Other working capital,-,282737,337302,152494
Other non-cash items,-,46707,8746,-9539
Net cash provided by operating activites,-,487781,572671,407287
Investments in property plant and equipment,-,-205044,-235369,-254793
Acquisitions net,-,-223042,-24840,-
Purchases of investments,-,-12500,-37500,-23686
Sales/Maturities of investments,-,-,-,757
Other investing activites,-,-241912,113979,-195584
Net cash used for investing activites,-,-678223,-206579,-500695
Net change in cash,-,15492,361799,-20736
Cash at beginning of period,-,861934,500134,520871
Cash at end of period,-,877426,861934,500134
Operating Cash Flow,-,487781,572671,407287
Capital Expenditure,-,-205044,-235369,-254793
Free Cash Flow,-,282737,337302,152494
