Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,1247132,1018290,952024,891388
Liabilities,,,,
Total Liabilities,1076065,893633,841024,794554
Stockholders' Equity,,,,
Common Stock,43030,14394,13286,9961
Retained Earnings,127987,110525,98235,87709
Accumulated other comprehensive income,50,-129,-124,-175
Total stockholders' equity,171067,124657,111000,96834
Total liabilities and stockholders' equity,1247132,1018290,952024,891388
