Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-11840,-11840,-14080,-15046,-15956
Purchases of investments,-20,-20,-49,-,-848
Other investing activites,-,-,-,-,2278
Net cash used for investing activites,-11724,-11724,-14099,-15019,83661
Debt repayment,-66500,-66500,-96900,-96486,-183200
Dividends Paid,-,-,-15681,-18622,-6860
Other financing activites,-11548,-11548,-415,-,-4030
Net cash used privided by (used for) financing activities,-32548,-32548,-5596,-31108,-140090
Net change in cash,2699,2699,2147,-6672,5253
Cash at beginning of period,11717,11717,9570,16242,11065
Cash at end of period,14416,14416,11717,9570,16242
Capital Expenditure,-11840,-11840,-14080,-15046,-15956
Free Cash Flow,35131,35131,7762,24409,45726
