Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6492,-6210,-3718,-1891,-4414
Acquisitions net,-4432,-2488,-20237,-23196,-1495
Sales/Maturities of investments,-,-,-,-,1554
Net cash used for investing activites,-10924,-8698,-23955,-25087,-2775
Debt repayment,-5550,-5024,-4577,-2107,-5393
Common stock issued,-,-,1427,321,73
Dividends Paid,-8818,-10534,-10513,-7691,-4949
Other financing activites,-1427,-295,-287,-124,-210
Net cash used privided by (used for) financing activities,-7687,-15853,-1150,399,-9457
Net change in cash,-2376,-9813,-4749,246,-1854
Cash at beginning of period,14814,23919,29822,34574,36428
Cash at end of period,12438,14021,23919,29822,34574
Capital Expenditure,-6492,-6210,-3718,-1891,-4414
Free Cash Flow,9743,8528,16638,23043,5964
