Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-1069,-13283
Acquisitions net,-1105,-270.26,-,-,-10921
Other investing activites,-,-53.621,-336.014,-,-
Net cash used for investing activites,-423.745,-4181,-1367,-1011,-24087
Debt repayment,-,-,-21.846,-200,-60
Common stock issued,11398,6354,4986,-,6032
Other financing activites,-443.463,-322.526,-224.024,84.485,157.103
Net cash used privided by (used for) financing activities,8667,8086,4740,-189.931,12216
Net change in cash,6265,1417,754.436,-894.968,-12399
Cash at beginning of period,3054,2332,1577,2472,14871
Cash at end of period,9319,3749,2332,1577,2472
Capital Expenditure,-,-,-,-1069,-13283
Free Cash Flow,2566,-2488,-2619,-763.088,-13811
