Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2548,-2795,-4221,-5328,-3479
Acquisitions net,-,-,-4299,-14980,-2592
Purchases of investments,-,-,-498.322,-,-
Other investing activites,-,-,-,-2239,-1413
Net cash used for investing activites,-2033,-2136,-9018,-22504,-7481
Debt repayment,-,-3883,-4000,-125,-100
Common stock issued,-,-,-,17000,10000
Common stock repurchased,-,-,-0.81,-620.732,-896.573
Net cash used privided by (used for) financing activities,-,516.853,5999,20255,9003
Net change in cash,-783.793,-1990,805.268,126.28,1113
Cash at beginning of period,1412,2482,1677,1623,531.162
Cash at end of period,628.518,524.322,2482,1677,1623
Capital Expenditure,-2548,-2795,-4221,-5328,-3479
Free Cash Flow,-4039,-3166,-396.744,-2952,-3888
