Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,36900,36900,67200,31000,51300
Depreciation & amortization,60200,60200,40300,40300,39400
Stock based compensation,1900,1900,1500,800,-
Change in working capital,11400,11400,-4400,9800,27700
Inventory,-600,-600,-7400,4400,-3400
Other working capital,15100,15100,-13600,14300,44800
Net cash provided by operating activites,114000,114000,99100,93400,112100
Investments in property plant and equipment,-98900,-98900,-112700,-79100,-67300
Acquisitions net,-16800,-16800,-11700,-,0
Other investing activites,-,-,-,0,-
Net cash used for investing activites,-114400,-114400,-123700,-75900,-64400
Net change in cash,14100,14100,-8600,-1100,-76600
Cash at beginning of period,12400,12400,20900,22500,97000
Cash at end of period,25900,25900,12400,20900,22500
Operating Cash Flow,114000,114000,99100,93400,112100
Capital Expenditure,-98900,-98900,-112700,-79100,-67300
Free Cash Flow,15100,15100,-13600,14300,44800
