Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-37.996,-24.228,-,-83.042
Other investing activites,-,20,24,10,-
Net cash used for investing activites,-,-17.996,-0.228,110.455,316.958
Debt repayment,-,-,-,-,-200
Common stock issued,1898,2863,2410,1250,1452
Common stock repurchased,-32.318,-134.204,-107.624,-89.1,-98.642
Net cash used privided by (used for) financing activities,1866,2728,2303,1161,1153
Net change in cash,-242.696,126.613,299.149,-306.386,447.661
Cash at beginning of period,814.578,586.838,287.689,594.075,146.414
Cash at end of period,571.882,713.451,586.838,287.689,594.075
Capital Expenditure,-,-37.996,-24.228,-,-83.042
Free Cash Flow,-2082,-2622,-2028,-1578,-1106
