Breakdown,ttm,12/31/2019,12/31/2018
Net Income,-14992,-14992,-25437
Depreciation & amortization,279,279,115
Stock based compensation,943,943,3429
Change in working capital,-1872,-1872,-5972
Other working capital,-15662,-15662,-23352
Net cash provided by operating activites,-15646,-15646,-23233
Investments in property plant and equipment,-16,-16,-119
Purchases of investments,0,0,-15443
Sales/Maturities of investments,2500,2500,33989
Net cash used for investing activites,2484,2484,18427
Common stock issued,0,0,2853
Net cash used privided by (used for) financing activities,0,0,2985
Net change in cash,-13162,-13162,-1799
Cash at beginning of period,19393,19393,21192
Cash at end of period,6231,6231,19393
Operating Cash Flow,-15646,-15646,-23233
Capital Expenditure,-16,-16,-119
Free Cash Flow,-15662,-15662,-23352
