Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,1451000,1272000,1041000,1023191,565969
Depreciation & amortization,1963000,769000,748000,677532,631896
Change in working capital,-18000,-94000,-376000,29849,-43146
Inventory,21000,-22000,-13000,-23696,10720
Other working capital,3097000,1519000,705000,1013098,846755
Other non-cash items,104000,74000,359000,140788,733909
Net cash provided by operating activites,3851000,2370000,1564000,2051716,1592990
Investments in property plant and equipment,-754000,-851000,-859000,-1038618,-746235
Other investing activites,-96000,-110000,-84000,-125250,-172246
Net cash used for investing activites,-850000,-961000,-943000,-1163868,-918481
Net change in cash,645000,471000,55000,34590,-263884
Cash at beginning of period,1893000,2018000,1962000,1928303,2192187
Cash at end of period,2542000,2489000,2018000,1962894,1928303
Operating Cash Flow,3851000,2370000,1564000,2051716,1592990
Capital Expenditure,-754000,-851000,-859000,-1038618,-746235
Free Cash Flow,3097000,1519000,705000,1013098,846755
