Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,167330000,171388000,12350000
Selling General and Administrative,117235000,119294000,9727000
Total Operating Expenses,158443000,151781000,10411000
Interest Expense,4951000,6145000,302000
Income Before Tax,5127000,72771000,72527000
Income Tax Expense,1860000,4247000,473000
Income from Continuing Operations,3267000,68524000,72054000
Net Income,3148000,68422000,72054000
Net Income available to common shareholders,3148000,68422000,72054000
Basic EPS,-,183.70,193.04
Diluted EPS,-,183.50,193.04
Basic Average Shares,-,372456,373266
Diluted Average Shares,-,372872,373266
