Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-641.057,-641.057,-,-,-
Sales/Maturities of investments,-,-,-,52.355,-
Net cash used for investing activites,-641.057,-641.057,-,52.355,34.545
Debt repayment,-3.638,-3.638,-,-15.818,-
Common stock issued,2014,2014,956.709,372,196
Common stock repurchased,-,-,0.07,-4.5,-
Other financing activites,-,-,-100,-,-
Net cash used privided by (used for) financing activities,2011,2011,856.779,351.682,212.349
Net change in cash,899.21,899.21,435.142,-31.306,24.088
Cash at beginning of period,440.93,440.93,5.788,37.094,13.006
Cash at end of period,1340,1340,440.93,5.788,37.094
Capital Expenditure,-641.057,-641.057,-,-,-
Free Cash Flow,-1112,-1112,-421.637,-435.343,-222.806
