Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-602379,-704057,-370128,-127475
Depreciation & amortization,-,613201,524723,549295
Change in working capital,-,-60721,-75326,-8859
Inventory,-,-22248,-26065,-23919
Other working capital,-,-1041894,-260634,641898
Other non-cash items,-,-49737,-91658,186571
Net cash provided by operating activites,-,572689,792492,1346236
Investments in property plant and equipment,-,-1614583,-1053126,-704338
Acquisitions net,-,-1777378,-,-
Purchases of investments,-,-79185,-1900,-77310
Other investing activites,-,106862,-44259,-26847
Net cash used for investing activites,-,-3329151,-823056,-584269
Net change in cash,-,-1238815,76417,1124568
Cash at beginning of period,-,6585610,6509192,5384624
Cash at end of period,-,5346794,6585610,6509192
Operating Cash Flow,-,572689,792492,1346236
Capital Expenditure,-,-1614583,-1053126,-704338
Free Cash Flow,-,-1041894,-260634,641898
