Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,80903,80903,75849,69064,59200
Interest Expense,23911,23911,17951,10097,7014
Income Before Tax,34351,34351,34745,31342,24403
Income Tax Expense,10243,10243,10444,14939,10401
Income from Continuing Operations,24108,24108,24301,16403,14002
Net Income,24108,24108,24301,16403,14002
Net Income available to common shareholders,24086,24086,24301,16403,14002
Basic EPS,-,-,1.69,1.22,1.12
Diluted EPS,-,-,1.66,1.21,1.11
Basic Average Shares,-,-,14397,13408,12533
Diluted Average Shares,-,-,14669,13540,12608
