Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,147198,147041,333026,349603
Depreciation & amortization,-,288831,294432,312524
Change in working capital,-,61718,42722,-29664
Inventory,-,25618,90713,-118228
Other working capital,-,183069,414224,467330
Other non-cash items,-,17085,14271,32463
Net cash provided by operating activites,-,404536,651949,1004584
Investments in property plant and equipment,-,-221467,-237725,-537254
Acquisitions net,-,-77632,-,-
Purchases of investments,-,-69808,-91508,-10260
Sales/Maturities of investments,-,5738,2515,33846
Other investing activites,-,-44903,-12274,-21000
Net cash used for investing activites,-,-512890,-341815,-533088
Net change in cash,-,-233340,174531,332395
Cash at beginning of period,-,2848500,2673968,2341573
Cash at end of period,-,2615159,2848500,2673968
Operating Cash Flow,-,404536,651949,1004584
Capital Expenditure,-,-221467,-237725,-537254
Free Cash Flow,-,183069,414224,467330
