Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8128000,9343000,6613000,3322000
Depreciation & amortization,-,14631000,15562000,15137000
Change in working capital,-,-2510000,-3179000,364000
Inventory,-,-1021000,-1063000,-1892000
Other working capital,-,1599000,-7541000,-10069000
Other non-cash items,-,2778000,1383000,2093000
Net cash provided by operating activites,-,19957000,15783000,18944000
Investments in property plant and equipment,-,-18358000,-23324000,-29013000
Acquisitions net,-,-8000,-,-
Purchases of investments,-,-5000,-5000,-4000
Sales/Maturities of investments,-,0,134000,60000
Other investing activites,-,-199000,717000,-379000
Net cash used for investing activites,-,-5031000,-6514000,-27141000
Net change in cash,-,-554000,791000,2450000
Cash at beginning of period,-,27276000,26485000,24035000
Cash at end of period,-,26738000,27276000,26485000
Operating Cash Flow,-,19957000,15783000,18944000
Capital Expenditure,-,-18358000,-23324000,-29013000
Free Cash Flow,-,1599000,-7541000,-10069000
