Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1428495,1105058,1026009,905600
Liabilities,,,,
Total Liabilities,1295164,990494,945890,834853
Stockholders' Equity,,,,
Common Stock,139,137,115.372,111.447
Retained Earnings,81618,65701,53200,46050
Accumulated other comprehensive income,13,-595,-246.695,-31.263
Total stockholders' equity,133331,114564,80119,70748
Total liabilities and stockholders' equity,1428495,1105058,1026009,905600
